time,thrust
361,5.084418605
362,5.073093023
363,5.061767442
364,5.05044186
365,5.039116279
366,5.027790698
367,5.016465116
368,5.005139535
369,4.993813953
370,4.982488372
371,4.971162791
372,4.959837209
373,4.948511628
374,4.937186047
375,4.925860465
376,4.914534884
377,4.903209302
378,4.891883721
379,4.88055814
380,4.869232558
381,4.857906977
382,4.846581395
383,4.835255814
384,4.823930233
385,4.812604651
386,4.80127907
387,4.789953488
388,4.778627907
389,4.767302326
390,4.755976744
391,4.744651163
392,4.733325581
393,4.722
394,4.722590361
395,4.723180723
396,4.723771084
397,4.724361446
398,4.724951807
399,4.725542169
400,4.72613253
401,4.726722892
402,4.727313253
403,4.727903614
404,4.728493976
405,4.729084337
406,4.729674699
407,4.73026506
408,4.730855422
409,4.731445783
410,4.732036145
411,4.732626506
412,4.733216867
413,4.733807229
414,4.73439759
415,4.734987952
416,4.735578313
417,4.736168675
418,4.736759036
419,4.737349398
420,4.737939759
421,4.73853012
422,4.739120482
423,4.739710843
424,4.740301205
425,4.740891566
426,4.741481928
427,4.742072289
428,4.742662651
429,4.743253012
430,4.743843373
431,4.744433735
432,4.745024096
433,4.745614458
434,4.746204819
435,4.746795181
436,4.747385542
437,4.747975904
438,4.748566265
439,4.749156627
440,4.749746988
441,4.750337349
442,4.750927711
443,4.751518072
444,4.752108434
445,4.752698795
446,4.753289157
447,4.753879518
448,4.75446988
449,4.755060241
450,4.755650602
451,4.756240964
452,4.756831325
453,4.757421687
454,4.758012048
455,4.75860241
456,4.759192771
457,4.759783133
458,4.760373494
459,4.760963855
460,4.761554217
461,4.762144578
462,4.76273494
463,4.763325301
464,4.763915663
465,4.764506024
466,4.765096386
467,4.765686747
468,4.766277108
469,4.76686747
470,4.767457831
471,4.768048193
472,4.768638554
473,4.769228916
474,4.769819277
475,4.770409639
476,4.771
477,4.770859551
478,4.770719101
479,4.770578652
480,4.770438202
481,4.770297753
482,4.770157303
483,4.770016854
484,4.769876404
485,4.769735955
486,4.769595506
487,4.769455056
488,4.769314607
489,4.769174157
490,4.769033708
491,4.768893258
492,4.768752809
493,4.76861236
494,4.76847191
495,4.768331461
496,4.768191011
497,4.768050562
498,4.767910112
499,4.767769663
500,4.767629213
501,4.767488764
502,4.767348315
503,4.767207865
504,4.767067416
505,4.766926966
506,4.766786517
507,4.766646067
508,4.766505618
509,4.766365169
510,4.766224719
511,4.76608427
512,4.76594382
513,4.765803371
514,4.765662921
515,4.765522472
516,4.765382022
517,4.765241573
518,4.765101124
519,4.764960674
520,4.764820225
521,4.764679775
522,4.764539326
523,4.764398876
524,4.764258427
525,4.764117978
526,4.763977528
527,4.763837079
528,4.763696629
529,4.76355618
530,4.76341573
531,4.763275281
532,4.763134831
533,4.762994382
534,4.762853933
535,4.762713483
536,4.762573034
537,4.762432584
538,4.762292135
539,4.762151685
540,4.762011236
541,4.761870787
542,4.761730337
543,4.761589888
544,4.761449438
545,4.761308989
546,4.761168539
547,4.76102809
548,4.76088764
549,4.760747191
550,4.760606742
551,4.760466292
552,4.760325843
553,4.760185393
554,4.760044944
555,4.759904494
556,4.759764045
557,4.759623596
558,4.759483146
559,4.759342697
560,4.759202247
561,4.759061798
562,4.758921348
563,4.758780899
564,4.758640449
565,4.7585
566,4.758359551
567,4.758219101
568,4.758078652
569,4.757938202
570,4.757797753
571,4.757657303
572,4.757516854
573,4.757376404
574,4.757235955
575,4.757095506
576,4.756955056
577,4.756814607
578,4.756674157
579,4.756533708
580,4.756393258
581,4.756252809
582,4.75611236
583,4.75597191
584,4.755831461
585,4.755691011
586,4.755550562
587,4.755410112
588,4.755269663
589,4.755129213
590,4.754988764
591,4.754848315
592,4.754707865
593,4.754567416
594,4.754426966
595,4.754286517
596,4.754146067
597,4.754005618
598,4.753865169
599,4.753724719
600,4.75358427
601,4.75344382
602,4.753303371
603,4.753162921
604,4.753022472
605,4.752882022
606,4.752741573
607,4.752601124
608,4.752460674
609,4.752320225
610,4.752179775
611,4.752039326
612,4.751898876
613,4.751758427
614,4.751617978
615,4.751477528
616,4.751337079
617,4.751196629
618,4.75105618
619,4.75091573
620,4.750775281
621,4.750634831
622,4.750494382
623,4.750353933
624,4.750213483
625,4.750073034
626,4.749932584
627,4.749792135
